Year,Month,A,B,C,D,E,F,G
1934,08,119.4,145.7,83.1,105.0,60.7,61.7,47.6
1934,09,82.0,74.7,45.6,62.0,42.9,51.5,28.1
1934,10,197.6,248.6,155.0,170.0,151.0,144.7,98.7
1934,11,193.6,232.2,160.9,158.0,107.7,86.5,80.9
1934,12,111.6,175.0,82.6,58.1,39.4,34.9,24.2
1935,01,56.3,78.6,42.5,31.3,34.8,35.2,25.4
1935,02,88.5,88.9,57.2,49.6,29.3,23.7,28.8
1935,03,71.0,88.0,39.7,48.0,31.7,40.3,21.4
1935,04,252.4,304.7,180.2,171.9,114.5,97.6,71.4
1935,05,69.6,90.4,45.5,43.3,29.5,30.7,17.6
1935,06,111.6,124.2,71.7,98.0,57.2,54.3,35.4
1935,07,145.7,162.4,113.0,140.3,115.3,115.3,81.0
1935,08,136.6,135.4,70.9,109.1,62.5,79.5,35.1
1935,09,117.4,122.8,93.8,101.9,84.9,79.0,67.4
1935,10,100.7,121.1,82.5,79.1,63.6,62.6,71.9
1935,11,70.2,87.7,34.7,28.7,16.8,20.8,7.6
1935,12,47.3,67.8,28.1,28.0,19.9,29.1,20.1
1936,01,49.3,56.0,53.4,56.2,40.8,37.5,40.2
1936,02,20.8,22.5,17.0,14.3,11.9,5.0,6.6
1936,03,17.8,23.7,14.0,10.7,7.4,9.5,3.7
1936,04,142.1,167.2,88.0,85.6,40.9,30.1,35.3
1936,05,55.9,61.6,45.2,43.9,51.0,63.0,32.3
1936,06,125.7,121.6,72.4,84.4,72.2,69.9,48.5
1936,07,161.2,185.0,142.8,176.7,159.3,144.4,117.2
1936,08,220.0,178.5,112.5,162.8,116.2,91.4,56.8
1936,09,64.2,78.1,38.2,34.4,22.8,24.6,15.2
1936,10,108.4,137.6,88.3,88.3,74.8,67.1,48.7
1936,11,62.2,87.4,39.1,35.1,19.0,23.7,9.7
1936,12,137.8,134.1,87.0,110.4,104.7,86.2,68.3
1937,01,85.0,114.3,80.8,73.3,55.6,61.2,42.9
1937,02,52.5,65.0,46.7,40.8,31.8,26.4,18.1
1937,03,46.7,65.1,25.9,21.1,12.9,15.4,4.9
1937,04,34.4,44.8,22.2,25.3,18.5,12.4,15.5
1937,05,83.2,85.7,49.0,63.7,41.6,44.1,33.9
1937,06,45.0,49.2,37.2,45.0,22.7,20.6,30.0
1937,07,77.5,89.1,43.1,53.2,33.6,34.0,17.9
1937,08,108.4,109.2,77.2,97.7,59.5,69.2,47.9
1937,09,134.7,147.0,76.0,101.7,42.5,48.9,28.2
1937,10,106.4,175.5,106.1,88.4,55.4,68.5,61.2
1937,11,33.5,28.1,10.2,20.1,5.2,9.1,6.3
1937,12,48.9,71.6,48.5,32.4,42.3,77.2,26.1
1938,01,62.5,73.2,44.8,47.2,28.3,38.9,25.4
1938,02,76.4,73.1,46.8,48.8,35.6,32.4,18.0
1938,03,30.8,46.0,22.1,4.2,11.5,7.8,1.3
1938,04,102.9,112.4,58.7,74.1,37.0,47.7,16.4
1938,05,39.3,48.7,23.3,32.5,12.7,18.1,9.8
1938,06,170.4,194.5,125.1,147.6,105.4,96.3,63.2
1938,07,68.7,72.6,46.1,65.3,51.2,53.3,45.8
1938,08,93.3,97.0,42.2,64.9,22.4,26.3,23.7
1938,09,37.4,38.1,14.3,20.6,10.6,14.5,4.6
1938,10,24.0,25.3,10.0,10.8,5.1,6.0,2.6
1938,11,20.7,29.4,16.5,6.6,17.3,21.0,6.7
1938,12,25.3,32.6,9.6,5.9,5.6,7.6,0.6
1939,01,17.6,11.9,18.0,20.7,24.1,23.2,10.4
1939,02,244.0,247.6,200.2,231.4,135.1,93.9,115.2
1939,03,81.3,61.0,50.8,90.0,25.7,11.1,42.4
1939,04,237.5,225.8,206.2,263.3,186.6,142.7,124.6
1939,05,62.3,86.9,69.4,50.3,71.2,83.6,51.1
1939,06,161.6,197.1,130.0,190.5,104.5,86.5,77.4
1939,07,40.9,58.4,45.8,40.1,38.8,42.9,33.5
1939,08,322.2,323.1,188.4,225.1,140.9,127.9,88.3
1939,09,137.3,169.1,75.5,79.7,51.4,48.5,33.2
1939,10,106.7,114.0,58.9,76.1,44.1,37.0,40.1
1939,11,130.4,142.6,91.2,88.7,89.3,111.3,62.2
1939,12,32.8,56.6,23.1,12.8,15.5,16.1,4.9
1940,01,43.7,42.3,22.1,21.5,23.5,32.8,8.8
1940,02,12.9,18.1,9.0,4.5,5.2,4.6,3.1
1940,03,34.2,41.3,32.8,30.2,14.5,12.0,7.6
1940,04,90.8,102.0,74.8,75.7,58.5,58.0,52.0
1940,05,77.0,87.5,42.4,52.4,25.9,24.8,10.8
1940,06,68.9,119.9,52.7,37.8,24.3,25.7,13.4
1940,07,120.4,158.3,83.6,90.2,67.5,66.5,37.9
1940,08,65.3,76.8,36.1,36.6,23.6,29.3,12.9
1940,09,105.4,112.5,91.8,85.4,80.7,53.9,55.2
1940,10,28.6,33.3,19.1,15.4,13.5,17.6,7.0
1940,11,91.8,94.2,52.6,52.3,25.0,30.2,16.2
1940,12,87.9,77.1,38.4,60.0,24.0,31.3,21.7
1941,01,177.0,145.6,132.2,187.8,89.7,83.1,96.8
1941,02,20.5,22.4,14.2,12.7,11.2,12.6,8.3
1941,03,156.5,163.3,100.3,155.4,53.1,54.6,57.7
1941,04,36.4,47.0,26.4,10.5,28.4,32.1,7.9
1941,05,33.9,45.8,23.8,32.1,7.6,10.4,12.8
1941,06,109.1,181.2,110.1,86.5,64.9,74.7,37.4
1941,07,136.2,143.2,82.4,109.1,71.3,72.8,58.0
1941,08,105.5,123.3,56.4,40.8,45.7,54.7,19.1
1941,09,114.0,119.1,84.5,83.7,92.0,96.6,49.5
1941,10,96.3,103.9,61.7,67.4,48.1,51.1,35.3
1941,11,52.4,57.8,45.2,50.3,46.4,49.1,27.1
1941,12,86.3,123.1,70.5,41.8,21.7,25.6,11.6
1942,01,69.2,49.2,35.7,52.3,30.1,36.8,22.6
1942,02,58.2,79.9,65.8,57.3,41.0,21.0,36.4
